loinc_num,long_common_name,component,system,property,long_common_name_query_terms_count,long_common_name_similarity,component_query_terms_count,component_similarity,system_query_terms_count,system_similarity,property_query_terms_count,property_similarity,ranking_score_baseline,clicked
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,2,0.1558350658779263,0,0.0,1,0.1801410360588515,0,0.0,0.0824003466295361,False
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,2,0.1739363820995454,0,0.0,1,0.1801410360588515,0,0.0,0.0811926922859994,False
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,2,0.1080684348496578,1,0.0,1,0.1801410360588515,0,0.0,0.0796434275150349,False
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,2,0.1706044446789767,1,0.0,1,0.1801410360588515,0,0.0,0.0796434275150349,False
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,2,0.1758776707363961,1,0.0,1,0.2569942436543546,0,0.0,0.0792031850127737,False
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,2,0.1506953738731321,0,0.0,1,0.1801410360588515,0,0.0,0.0766510172836388,False
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,2,0.1566771828063972,1,0.0,1,0.1801410360588515,0,0.0,0.0724451347026932,False
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,2,0.1396189442351372,1,0.0,1,0.1801410360588515,0,0.0,0.0708080147739975,False
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,2,0.1396189442351371,1,0.0,1,0.1801410360588515,0,0.0,0.0708080147739975,False
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,2,0.1345052616436543,1,0.0,1,0.1801410360588515,0,0.0,0.0674292148044468,False
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,2,0.1423827552289367,1,0.0,1,0.1801410360588515,0,0.0,0.0660205190900823,False
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,2,0.1371734717623152,1,0.0,1,0.1801410360588515,0,0.0,0.0625906884097601,False
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,2,0.1294505253378166,1,0.0,1,0.1801410360588515,0,0.0,0.0594390367869953,False
890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,Ser/Plas,ACnc,2,0.1320748861158871,0,0.0,1,0.1801410360588515,0,0.0,0.0591735130768405,False
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,2,0.1489656600389545,0,0.0,1,0.1801410360588515,0,0.0,0.0587460755346868,False
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,1,0.0,0,0.0,1,0.1801410360588515,1,0.0,0.0566540624870042,False
14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,2,0.1016370960060737,0,0.0,1,0.1801410360588515,0,0.0,0.0462289566789217,False
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,2,0.102724821535684,1,0.0,1,0.1801410360588515,0,0.0,0.0442555242755857,False
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,1,0.0539541554936876,0,0.0,0,0.0,0,0.0,0.0,False
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,1,0.0291782988134117,0,0.0,0,0.0,0,0.0,0.0,False
14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,1,0.054744595089326,0,0.0,0,0.0,0,0.0,0.0,False
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,1,0.0619723520402283,0,0.0,0,0.0,0,0.0,0.0,False
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,1,0.0395088644178814,0,0.0,0,0.0,0,0.0,0.0,False
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
8310-5,Body temperature,Body temperature,^Patient,Temp,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,1,0.0817832199299055,0,0.0,0,0.0,0,0.0,0.0,False
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,1,0.0528485800364712,0,0.0,0,0.0,0,0.0,0.0,False
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,1,0.0293776665796071,1,0.0,0,0.0,0,0.0,0.0,False
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,1,0.0630216293876294,0,0.0,0,0.0,0,0.0,0.0,False
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
10331-7,Rh [Type] in Blood,Rh,Bld,Type,1,0.0709833307422306,0,0.0,0,0.0,0,0.0,0.0,False
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,1,0.0699795701235715,0,0.0,0,0.0,0,0.0,0.0,False
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,1,0.0767868489912938,0,0.0,0,0.0,0,0.0,0.0,False
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,1,0.0817832199299055,0,0.0,0,0.0,0,0.0,0.0,False
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,1,0.0548780007427842,0,0.0,0,0.0,0,0.0,0.0,False
933-2,Blood product type,Blood product type,^BPU,Type,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,1,0.0,1,0.0,0,0.0,0,0.0,0.0,False
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,1,0.0650935414718296,0,0.0,1,0.0,0,0.0,0.0,False
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,1,0.0487001179559571,1,0.0,0,0.0,0,0.0,0.0,False
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,1,0.0736987328218618,0,0.0,0,0.0,0,0.0,0.0,False
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,2,0.0517059900309294,2,0.0,0,0.0,0,0.0,0.0,False
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,0,0.0,0,0.0,0,0.0,0,0.0,0.0,False
